datetime,pm_25_conc,pm_25_AQI,pm_25_AQI_cat,station_name
2022-12-24T00:00,5.3,22,1,Santa Maria
2022-12-24T00:00,28.1,85,2,Tranquillity
2022-12-24T00:00,3.0,13,1,Lakeview - Center & M
2022-12-24T00:00,2.7,11,1,Truckee BAM
2022-12-24T00:00,5.2,22,1,Tahoe City
2022-12-24T00:00,5.6,23,1,MMCA82019
2022-12-24T00:00,7.9,33,1,Huron
2022-12-24T00:00,4.4,18,1,Santa Ynez
2022-12-24T00:00,28.8,86,2,Madera-City
2022-12-24T00:00,4.3,18,1,Goleta
2022-12-24T00:00,9.2,38,1,Reno4
2022-12-24T00:00,30.6,90,2,Fresno-Foundry Park
2022-12-24T00:00,35.8,102,3,Fresno - Garland
2022-12-24T00:00,6.8,28,1,CC_Armory
2022-12-24T00:00,7.5,31,1,Sparks
2022-12-24T00:00,6.5,27,1,Toll
2022-12-24T00:00,38.7,109,3,Fresno-Pacific
2022-12-24T00:00,6.8,28,1,Ranchos
2022-12-24T00:00,10.3,43,1,Spanish Springs
2022-12-24T00:00,36.7,104,3,Clovis - N. Villa Ave
2022-12-24T00:00,8.1,34,1,Santa Barbara
2022-12-24T00:00,32.3,93,2,Hanford - S. Irwin Street
2022-12-24T00:00,35.1,99,2,Visalia - W Ashland Avenue
2022-12-24T00:00,0.0,0,1,Ojai - Ojai Ave.
2022-12-24T00:00,3.7,15,1,El Rio - Rio Mesa School #2
2022-12-24T00:00,5.2,22,1,Lee Vining
2022-12-24T00:00,32.4,94,2,Bakersfield - California Ave
2022-12-24T00:00,31.7,92,2,Porterville-NFS
2022-12-24T00:00,4.7,20,1,Burns - Washington St.
2022-12-24T00:00,0.0,0,1,Pinehurst
2022-12-24T00:00,35.5,101,3,Bakersfield - Golden State Highway
2022-12-24T00:00,4.0,17,1,PM2.5 Mammoth Lakes EBAM
2022-12-24T00:00,7.3,30,1,John Day Dayton St
2022-12-24T00:00,6.9,29,1,Thousand Oaks - Moorpark Road
2022-12-24T00:00,1.2,5,1,Lebec
2022-12-24T00:00,2.9,12,1,Sequoia and Kings Canyon - Ash Mountain
2022-12-24T00:00,16.9,61,2,Springville
2022-12-24T00:00,2.8,12,1,Piru - Pacific
2022-12-24T00:00,0.5,2,1,Simi Valley - Cochran Street
2022-12-24T00:00,23.5,75,2,Reseda
2022-12-24T00:00,1.3,5,1,Santa Clarita
2022-12-24T00:00,3.4,14,1,Bishop Paiute Tribe-CA
2022-12-24T00:00,22.2,72,2,North Holywood
2022-12-24T00:00,2.4,10,1,NCORE - Bishop
2022-12-24T00:00,35.3,100,2,Los Angeles - N. Main Street
2022-12-24T00:00,33.2,95,2,Compton
2022-12-24T00:00,20.7,69,2,Long Beach Signal Hill
2022-12-24T00:00,2.2,9,1,Mojave - CA 58 Business
2022-12-24T00:00,4.2,18,1,La Grande Hall & N Sts
2022-12-24T00:00,4.0,17,1,Lone Pine Paiute/Shoshone Tribe-CA
2022-12-24T00:00,18.8,65,2,Anaheim
2022-12-24T00:00,4.4,18,1,Keeler
2022-12-24T00:00,16.6,60,2,Glendora - Laurel
2022-12-24T00:00,3.4,14,1,Baker City - Forest Service
2022-12-24T00:00,3.2,13,1,Cove - City Hall
2022-12-24T00:00,20.0,68,2,Upland
2022-12-24T00:00,20.1,68,2,Mira Loma - Van Buren
2022-12-24T00:00,12.8,52,2,Riverside - Rubidoux
2022-12-24T00:00,10.7,45,1,Camp Pendleton
2022-12-24T00:00,7.0,29,1,Lake Elsinore - W. Flint Street
2022-12-24T00:00,3.1,13,1,Victorville - Park Avenue
2022-12-24T00:00,0.6,3,1,Crestline - Lake Gregory
2022-12-24T00:00,19.0,66,2,San Diego - Sherman Elementary School
