datetime,pm_10_conc,pm_10_AQI,pm_10_cat,station_name
2022-12-24T00:00,31.0,29,1,South Phoenix
2022-12-24T00:00,18.0,17,1,North Phoenix
2022-12-24T00:00,14.0,13,1,Maricopa
2022-12-24T00:00,27.0,25,1,Central Phoenix
2022-12-24T00:00,19.0,18,1,Hidden Valley
2022-12-24T00:00,47.0,44,1,Herriman #3
2022-12-24T00:00,16.0,15,1,Harrisville
2022-12-24T00:00,20.0,19,1,Stanfield
2022-12-24T00:00,15.0,14,1,Tempe
2022-12-24T00:00,17.0,16,1,South Scottsdale
2022-12-24T00:00,21.0,19,1,West Chandler Fire Station
2022-12-24T00:00,52.0,48,1,Hawthorne
2022-12-24T00:00,12.0,11,1,Mesa - Brooks Reservoir
2022-12-24T00:00,8.0,7,1,Senior Center
2022-12-24T00:00,15.0,14,1,LEHI
2022-12-24T00:00,22.0,20,1,Casa Grande Downtown
2022-12-24T00:00,19.0,18,1,Higley
2022-12-24T00:00,40.0,37,1,Lindon
2022-12-24T00:00,18.0,17,1,Ft McD Yuma Frank-AZ
2022-12-24T00:00,16.0,15,1,Pinal County Housing
2022-12-24T00:00,19.0,18,1,COMBS
2022-12-24T00:00,22.0,20,1,Eloy
2022-12-24T00:00,12.0,11,1,Apache Junction
2022-12-24T00:00,8.0,7,1,Payson Well Site
2022-12-24T00:00,15.0,14,1,Pinal Air Park
2022-12-24T00:00,15.0,14,1,Rillito
2022-12-24T00:00,10.0,9,1,Orange Grove
2022-12-24T00:00,5.0,5,1,Green Valley
2022-12-24T00:00,15.0,14,1,South Tucson
2022-12-24T00:00,19.0,18,1,Geronimo
2022-12-24T00:00,37.0,34,1,Nogales ITN
2022-12-24T00:00,17.0,16,1,Nogales Post Office
2022-12-24T00:00,7.0,6,1,Miami Golf Course
2022-12-24T00:00,9.0,8,1,Corona de Tucson
2022-12-24T00:00,0.0,0,1,Hayden
2022-12-24T00:00,13.0,12,1,Paul Spur Chemical Lime Plant
2022-12-24T00:00,7.0,6,1,Douglas Red Cross
2022-12-24T00:00,1.0,1,1,Substation
