JENISON,2022-12-27T23:00,14.0,13.0,1.0,10.0,42.0,1.0
GRAND RAPIDS,2022-12-27T23:00,17.0,16.0,1.0,12.6,52.0,2.0
DEARBORN,2022-12-27T23:00,21.0,19.0,1.0,22.8,74.0,2.0
Greenville-ESC,2022-12-27T23:00,14.0,13.0,1.0,8.7,36.0,1.0
Cayce City Hall,2022-12-27T23:00,31.0,29.0,1.0,,,
NCORE,2022-12-27T23:00,6.0,6.0,1.0,2.8,12.0,1.0
HATTIEAVEN,2022-12-27T23:00,10.0,9.0,1.0,5.9,25.0,1.0
Jenkins Avenue,2022-12-27T23:00,9.0,8.0,1.0,,,
MENDNHAL,2022-12-27T23:00,9.0,8.0,1.0,9.2,38.0,1.0
W OWEN SCH,2022-12-27T23:00,13.0,12.0,1.0,,,
Durham Armory,2022-12-27T23:00,9.0,8.0,1.0,4.8,20.0,1.0
Millbrook NCore,2022-12-27T23:00,18.0,17.0,1.0,10.8,45.0,1.0
CASTLE H,2022-12-27T23:00,10.0,9.0,1.0,5.7,24.0,1.0
Princess Anne,2022-12-27T23:00,8.0,7.0,1.0,4.9,20.0,1.0
Pocomoke City,2022-12-27T23:00,11.0,10.0,1.0,4.7,20.0,1.0
Ft McD Yuma Frank-AZ,2022-12-28T00:00,16.0,15.0,1.0,,,
Coos Bay Marshfield HS,2022-12-27T23:00,,,,2.6,11.0,1.0
Florence-Department of Forestry,2022-12-27T23:00,,,,9.3,39.0,1.0
Toledo NE Hwy20 & NW A St,2022-12-27T23:00,,,,4.3,18.0,1.0
Cave Junction Forest Service,2022-12-27T23:00,,,,3.1,13.0,1.0
Roseburg Fire Dept,2022-12-27T23:00,,,,2.2,9.0,1.0
Willits Blosser Lane,2022-12-27T23:00,,,,15.4,58.0,2.0
Grants Pass - Parkside School,2022-12-27T23:00,,,,1.2,5.0,1.0
Dallas LaCreole Middle School,2022-12-27T23:00,,,,1.6,7.0,1.0
Ukiah Library,2022-12-27T23:00,,,,5.5,23.0,1.0
McMinnville High School,2022-12-27T23:00,,,,1.7,7.0,1.0
Eugene - Highway 99,2022-12-27T23:00,,,,2.1,9.0,1.0
Eugene - Wilkes Dr.,2022-12-27T23:00,,,,0.3,1.0,1.0
Forest Grove Pacific University,2022-12-27T23:00,,,,1.9,8.0,1.0
Albany - Calapooia School,2022-12-27T23:00,,,,2.2,9.0,1.0
Eugene - Amazon Park,2022-12-27T23:00,,,,0.8,3.0,1.0
Cottage Grove City Shops,2022-12-27T23:00,,,,0.6,3.0,1.0
Springfield City Hall,2022-12-27T23:00,,,,0.7,3.0,1.0
Salem - State Hospital,2022-12-27T23:00,,,,1.6,7.0,1.0
Salem Chemeketa Community College,2022-12-27T23:00,,,,1.6,7.0,1.0
Hillsboro - Hare Field,2022-12-27T23:00,,,,3.4,14.0,1.0
Turner - CJHS,2022-12-27T23:00,,,,1.9,8.0,1.0
Medford Welch & Jackson,2022-12-27T23:00,,,,2.1,9.0,1.0
Woodburn Chemeketa Community College,2022-12-27T23:00,,,,1.6,7.0,1.0
Beaverton - Highland Park School,2022-12-27T23:00,,,,1.5,6.0,1.0
Shady Cove - Shady Cove School,2022-12-27T23:00,,,,4.7,20.0,1.0
Silverton,2022-12-27T23:00,,,,1.5,6.0,1.0
Talent - Rapp Lane,2022-12-27T23:00,,,,1.7,7.0,1.0
Portland Near Road,2022-12-27T23:00,,,,3.1,13.0,1.0
Roosevelt High School,2022-12-27T23:00,,,,1.8,8.0,1.0
Sweet Home - Fire Department,2022-12-27T23:00,,,,1.1,5.0,1.0
Ashland Fire Dept,2022-12-27T23:00,,,,1.6,7.0,1.0
Portland Lincoln High School,2022-12-27T23:00,,,,1.7,7.0,1.0
Portland SE 12th and Salmon,2022-12-27T23:00,,,,1.8,8.0,1.0
Lyons,2022-12-27T23:00,,,,1.3,5.0,1.0
Portland - SE Lafayette,2022-12-27T23:00,,,,0.0,0.0,1.0
Portland Lane Middle School,2022-12-27T23:00,,,,1.8,8.0,1.0
Portland - Spangler Road,2022-12-27T23:00,,,,1.4,6.0,1.0
Portland McDaniel High School,2022-12-27T23:00,,,,1.9,8.0,1.0
Portland Cully Helensview School,2022-12-27T23:00,,,,1.3,5.0,1.0
Gresham Centennial HS,2022-12-27T23:00,,,,1.8,8.0,1.0
Oakridge - Willamette Activity Center,2022-12-27T23:00,,,,2.1,9.0,1.0
Mill City,2022-12-27T23:00,,,,1.6,7.0,1.0
Redding,2022-12-27T23:00,,,,4.1,17.0,1.0
Estacada Clackamas River Elementary School,2022-12-27T23:00,,,,2.2,9.0,1.0
SLV Middle School AMS,2022-12-27T23:00,,,,0.0,0.0,1.0
Chiloquin,2022-12-27T23:00,,,,1.7,7.0,1.0
Carmel Valley AMS,2022-12-27T23:00,,,,1.3,5.0,1.0
Klamath Falls - Peterson School,2022-12-27T23:00,,,,1.4,6.0,1.0
Salinas AMS,2022-12-27T23:00,,,,2.1,9.0,1.0
Sisters Forest Service,2022-12-27T23:00,,,,1.2,5.0,1.0
Hood River West Side FD,2022-12-27T23:00,,,,3.8,16.0,1.0
Bercut Dr,2022-12-27T23:00,,,,5.7,24.0,1.0
Sunriver Three Rivers School,2022-12-27T23:00,,,,2.2,9.0,1.0
Elk Grove,2022-12-27T23:00,,,,1.4,6.0,1.0
Arden Arcade - Del Paso Manor,2022-12-27T23:00,,,,2.9,12.0,1.0
Lincoln,2022-12-27T23:00,,,,1.8,8.0,1.0
Bend Pine Ridge Elementary School,2022-12-27T23:00,,,,1.6,7.0,1.0
Bend - Pump Station,2022-12-27T23:00,,,,1.3,5.0,1.0
Bend NE 8th & Emerson,2022-12-27T23:00,,,,2.3,10.0,1.0
Bend Ponderosa Elementary School,2022-12-27T23:00,,,,2.2,9.0,1.0
Sloughhouse,2022-12-27T23:00,,,,0.8,3.0,1.0
The Dalles - Cherry Heights,2022-12-27T23:00,,,,7.9,33.0,1.0
Redmond High School,2022-12-27T23:00,,,,2.3,10.0,1.0
Folsom,2022-12-27T23:00,,,,4.8,20.0,1.0
Madras - Westside School,2022-12-27T23:00,,,,1.8,8.0,1.0
Colfax,2022-12-27T23:00,,,,1.4,6.0,1.0
Prineville - Davidson Park,2022-12-27T23:00,,,,0.6,3.0,1.0
Lakeview - Center & M,2022-12-27T23:00,,,,1.4,6.0,1.0
Tahoe City,2022-12-27T23:00,,,,4.7,20.0,1.0
Santa Ynez,2022-12-27T23:00,,,,3.2,13.0,1.0
Hermiston - Municipal Airport,2022-12-27T23:00,,,,1.9,8.0,1.0
Ojai - Ojai Ave.,2022-12-27T23:00,,,,5.7,24.0,1.0
John Day Dayton St,2022-12-27T23:00,,,,2.5,10.0,1.0
Thousand Oaks - Moorpark Road,2022-12-27T23:00,,,,8.9,37.0,1.0
Pendleton - McKay Creek,2022-12-27T23:00,,,,1.5,6.0,1.0
Piru - Pacific,2022-12-27T23:00,,,,10.1,42.0,1.0
La Grande Hall & N Sts,2022-12-27T23:00,,,,1.4,6.0,1.0
Lone Pine Paiute/Shoshone Tribe-CA,2022-12-27T23:00,,,,2.1,9.0,1.0
Baker City - Forest Service,2022-12-27T23:00,,,,3.4,14.0,1.0
Cove - City Hall,2022-12-27T23:00,,,,2.4,10.0,1.0
Enterprise - US Forest Service,2022-12-27T23:00,,,,1.4,6.0,1.0
Ontario May Roberts Elementary School,2022-12-27T23:00,,,,5.9,25.0,1.0
El Cajon - Lexington Elementary School,2022-12-27T23:00,,,,8.5,35.0,1.0
Plummer CDA Tribe,2022-12-27T23:00,,,,2.9,12.0,1.0
Alpine,2022-12-27T23:00,,,,7.2,30.0,1.0
Brawley - 220 Main Street,2022-12-27T23:00,,,,9.6,40.0,1.0
Unit139,2022-12-27T23:00,,,,13.0,53.0,2.0
St. Lina,2022-12-27T23:00,,,,6.8,28.0,1.0
Cold Lake South,2022-12-27T23:00,,,,5.7,24.0,1.0
Las Cruces ED,2022-12-27T23:00,,,,1.8,8.0,1.0
Santa Teresa,2022-12-27T23:00,,,,1.2,5.0,1.0
Taos Fire Station,2022-12-27T23:00,,,,0.0,0.0,1.0
Scottsbluff HS,2022-12-27T23:00,,,,0.0,0.0,1.0
Hobbs Jefferson,2022-12-27T23:00,,,,3.7,15.0,1.0
Grand Island DOT,2022-12-27T23:00,,,,2.8,12.0,1.0
Homestead NHP,2022-12-27T23:00,,,,5.3,22.0,1.0
LLCHD BAM,2022-12-27T23:00,,,,1.7,7.0,1.0
Detroit Lakes,2022-12-27T23:00,,,,2.9,12.0,1.0
Marshall,2022-12-27T23:00,,,,4.8,20.0,1.0
Red Lake Nation,2022-12-27T23:00,,,,4.3,18.0,1.0
Leech Lake Nation: Cass Lake,2022-12-27T23:00,,,,2.4,10.0,1.0
RG_South,2022-12-27T23:00,,,,5.4,23.0,1.0
Blue Ridge I-70,2022-12-27T23:00,,,,6.8,28.0,1.0
Liberty,2022-12-27T23:00,,,,5.2,22.0,1.0
Brainerd,2022-12-27T23:00,,,,4.5,19.0,1.0
St. Cloud,2022-12-27T23:00,,,,4.2,18.0,1.0
El Do Springs,2022-12-27T23:00,,,,6.8,28.0,1.0
Shreveport Airport,2022-12-27T23:00,,,,8.1,34.0,1.0
St. Michael,2022-12-27T23:00,,,,4.4,18.0,1.0
Shakopee,2022-12-27T23:00,,,,4.9,20.0,1.0
Lakeville - Near Road,2022-12-27T23:00,,,,5.7,24.0,1.0
Westlake,2022-12-27T23:00,,,,12.8,52.0,2.0
Minneapolis-Phillips,2022-12-27T23:00,,,,4.9,20.0,1.0
Minneapolis-Near Road,2022-12-27T23:00,,,,5.2,22.0,1.0
Apple Valley,2022-12-27T23:00,,,,4.7,20.0,1.0
St. Paul-Harding H.S.,2022-12-27T23:00,,,,5.8,24.0,1.0
Virginia,2022-12-27T23:00,,,,4.5,19.0,1.0
Fond du Lac,2022-12-27T23:00,,,,1.8,8.0,1.0
Rochester,2022-12-27T23:00,,,,7.0,29.0,1.0
